date,description,title,source_name,url,source,pdid,incidntnum,incident_code,category,descript,dayofweek,time,pddistrict,resolution,address,x,y,location,type
2024-12-07 02:52:29+00:00,"There are two ways to do things: Alvin Bragg’s way and the right way.And when I say, “Alvin Bragg,” I don’t just mean him, I mean all the Soros-backed soft-on-crime, criminal-coddling prosecutors who have turned many of our major cities into virtual battle zo…",This Is the Way: Lawmaker Wants to Award Daniel Penny With Congress' Highest Civilian Honor,Freerepublic.com,https://freerepublic.com/focus/f-bloggers/4283014/posts,news,,,,,,,,,,,,,,
2024-12-07 02:44:56+00:00,"The New York Police Department is crowd-sourcing their investigation into the murder of UnitedHealthcare CEO Brian Thompson to the general public after two days with no positive ID on the shooter. But they may not get much help from the internet, according to…",'Claim denied': Internet sleuths deny NYPD request to hunt down insurance CEO' killer,Raw Story,https://www.rawstory.com/brian-thompson-2670351192/,news,,,,,,,,,,,,,,
2024-12-07 02:37:54+00:00,"Ralph Cilento, a retired lieutenant commander at the NYPD and adjunct professor of police science at John Jay College of Criminal Justice, spoke to Fox News Digital Friday.",Deep dive into UnitedHealthcare CEO's personal life will play key role in investigation: retired NYPD officer,Fox News,https://www.foxnews.com/us/deep-dive-unitedhealthcare-ceos-personal-life-play-key-role-investigation-retired-nypd-officer,news,,,,,,,,,,,,,,
2024-12-07 02:37:41+00:00,The mentally ill gunman who shot and wounded two kindergartners at a small California school Wednesday wrote that he was deploying a “countermeasure involving child executions” in response to “America’s involvement with genocide and oppression of Palestinians…,Mentally ill Calif. school shooter fired at kids as ‘countermeasure’ for US involvement in ‘genocide of Palestinians’: note,Freerepublic.com,https://freerepublic.com/focus/f-news/4283012/posts,news,,,,,,,,,,,,,,
2024-12-07 02:30:08+00:00,,Sioux Falls Police Chief: No injuries from shooting inside Empire Mall; suspect at large,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_50a8055e-de61-4bee-9560-0bbd6cfbabca,news,,,,,,,,,,,,,,
2024-12-07 02:26:34+00:00,"Investigators are exploring the possibility that a pistol used by veterinaries to put down sick or wounded animals was also the assassin’s weapon used to gun down UnitedHealthcare’s CEO early Wednesday.Aside from being “practically silent,” the B&T VP9 also c…",Veterinary pistol with ‘weird cultural’ significance may have killed insurance CEO: expert,Raw Story,https://www.rawstory.com/brian-thompson-2670350543/,news,,,,,,,,,,,,,,
2024-12-07 02:21:20+00:00,"The Supreme Court on Friday flagged ""disturbing features"" in the arrest of former IAS officer Anil Tuteja by the Enforcement Directorate in a money laundering case related to the alleged Chhattisgarh liquor scam.","In Chhattisgarh Liquor Scam Arrest, Top Court Flags 'Disturbing Features'",NDTV News,https://www.ndtv.com/india-news/in-chhattisgarh-liquor-scam-arrest-top-court-flags-disturbing-features-7191399,news,,,,,,,,,,,,,,
2024-12-07 02:18:13+00:00,Hong Kong is sending district councilors and other local officials to mainland China to learn how the ruling Chinese Communist Party uses local networks of volunteers to monitor the population and target potential unrest before it happens.,Hong Kong officials learn neighborhood surveillance from China,Globalsecurity.org,https://www.globalsecurity.org/wmd/library/news/china/2024/12/china-241205-rfa01.htm,news,,,,,,,,,,,,,,
2024-12-07 02:17:40+00:00,"The International Criminal Police Organization — or Interpol — announced Thursday that an operation involving law enforcement from nine South American countries has resulted in the arrest of 45 people and the seizure of more than 3,000 homemade bombs and tons…","Interpol operation seizes 3,400 bombs in South America",Globalsecurity.org,https://www.globalsecurity.org/security/library/news/2024/12/sec-241205-voa01.htm,news,,,,,,,,,,,,,,
2024-12-07 02:15:17+00:00,"Opting out of an emotional ending that'll wreck viewers, some romance K-dramas choose to end their stories on a much lighter note.",10 Romantic K-Dramas With Happy Endings,Screen Rant,https://screenrant.com/10-romantic-k-dramas-with-happy-endings/,news,,,,,,,,,,,,,,
2024-12-07 02:15:01+00:00,"When you're a Russian retiree living on a limited income, it's bad enough trying to contend with skyrocketing prices for staples like eggs, potatoes, or butter. Now add to the list of worries: a swooning ruble hitting lows not seen in years.",The Ruble Swoons And Russia's Economy Wobbles Further,Globalsecurity.org,https://www.globalsecurity.org/wmd/library/news/russia/2024/12/russia-241206-rferl01.htm,news,,,,,,,,,,,,,,
2024-12-07 02:15:01+00:00,"Pakistan's jailed former prime minister, Imran Khan. has threatened to start a nationwide civil disobedience movement this month following a government crackdown on his supporters that resulted in the deaths of several.",Former Pakistan PM Khan threatens civil disobedience movement from prison,Globalsecurity.org,https://www.globalsecurity.org/wmd/library/news/pakistan/2024/pakistan-241206-voa01.htm,news,,,,,,,,,,,,,,
2024-12-07 02:09:45+00:00,Police are seeking information about a 15-year-old boy who went missing in Detroit.,Detroit police want help finding missing 15-year-old boy,WDIV ClickOnDetroit,https://www.clickondetroit.com/news/local/2024/12/07/detroit-police-want-help-finding-missing-15-year-old-boy/,news,,,,,,,,,,,,,,
2024-12-07 02:06:29+00:00,A 22-year-old Kansas City man accused of illegally purchasing a gun found after the February mass shooting at the Kansas City Chiefs Super Bowl parade has been sentenced to probation,Man accused of buying gun later found at Kansas City Chiefs Super Bowl rally shooting sentenced,ABC News,https://abcnews.go.com/US/wireStory/man-accused-buying-gun-found-kansas-city-chiefs-116546566,news,,,,,,,,,,,,,,
2024-12-07 02:04:53+00:00,"A good Samaritan rescued two baby girls who were abandoned in a ditch near his Indiana home after the car they were in was stolen.
The post Good Samaritan Rescues Two Baby Girls Left in a Ditch After Car Was Stolen in Indiana appeared first on Breitbart.",Good Samaritan Rescues Two Baby Girls Left in a Ditch After Car Was Stolen in Indiana,Breitbart News,https://www.breitbart.com/crime/2024/12/06/good-samaritan-rescues-two-baby-girls-ditch-car-stolen-indiana/,news,,,,,,,,,,,,,,
2024-12-07 02:02:30+00:00,Chief of Detectives Joe Kenny revealed investigators' thinking on the still-unidentified gunman's motive during a huddle with reporters.,Assassin in UnitedHealthcare CEO Brian Thompson’s killing could be ‘disgruntled’ client or employee: NYPD,New York Post,https://nypost.com/2024/12/06/us-news/assassin-in-unitedhealthcare-ceo-brian-thompsons-killing-could-be-disgruntled-client-or-employee-nypd/,news,,,,,,,,,,,,,,
2024-12-07 02:00:34+00:00,The suspect who fatally shot UnitedHealthcare CEO Brian Thompson in Manhattan may have used a special weapon more common on farms ... at least according to cops. NYPD Chief of Detectives Joseph Kenny told reporters Friday police investigators are…,"UnitedHealthcare CEO Murder Suspect May Have Used Veterinary Gun, Police Say",TMZ,https://www.tmz.com/2024/12/06/unitedhealthcare-ceo-murder-suspect-veterinary-gun/,news,,,,,,,,,,,,,,
2024-12-07 02:00:00+00:00,"SPOILER ALERT: This post contains spoilers from the “Outlander” Season 7, Part 2 episode, “A Hundredweight of Stones,” now streaming on Starz, and the Diana Gabaldon’s book, “A Echo in the Bone.” David Berry recalls that penciled into the margin of the script…","‘Outlander’ Stars Break Down the ‘Worst Wedding Ever,’ That Surprising Hook-Up and the Resurrection of [SPOILER]",Variety,https://variety.com/2024/tv/news/outlander-claire-lord-john-get-married-have-sex-jamie-is-alive-1236235493/,news,,,,,,,,,,,,,,
2024-12-07 01:58:35+00:00,Long-standing frustrations at the US health system were revealed online after an insurance executive was shot and killed in New York City.,Killing of insurance CEO reveals simmering anger at US health system,BBC News,https://www.bbc.com/news/articles/cm2eeeep0npo,news,,,,,,,,,,,,,,
2024-12-07 01:53:23+00:00,"The shocking killing of UnitedHealthcare CEO Brian Thompson outside a hotel in New York City triggered an avalanche of ""rage and glee"" on the internet as people frustrated with their health insurers dance on his grave — and it says something dark about the st…",'Rage and glee' after health insurance CEO's killing a stark warning for US: columnist,Raw Story,https://www.rawstory.com/ceo/,news,,,,,,,,,,,,,,
2024-12-07 01:33:12+00:00,"In 2022, there were 154,458 people in Israel without a licensed firearm, but by 2024, this number has more than doubled.",Looking at Itamar Ben-Gvir's gun reform one year later and the tensions it has created,The Jerusalem Post,https://www.jpost.com/israel-news/politics-and-diplomacy/article-832321,news,,,,,,,,,,,,,,
2024-12-07 01:28:00+00:00,"KUALA LUMPUR: Police are on the lookout for a man known as Castelo, believed to be the mastermind behind a cable theft syndicate operating in the Sentul and Kepong areas over the past five months. Read full story","Police hunt mastermind behind cable theft syndicate in Sentul, Kepong",The Star Online,https://www.thestar.com.my/news/nation/2024/12/07/police-hunt-mastermind-behind-cable-theft-syndicate-in-sentul-kepong,news,,,,,,,,,,,,,,
